timestamp,city,aqi_level,source_label,pollutant_signature,affected_groups,protective_actions,alert_text_en,alert_text_ur,split
2024-08-28 09:00:00,Islamabad,Hazardous,unclassified,Highest z-score: CO (0.5σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
2024-08-28 10:00:00,Islamabad,Hazardous,unclassified,Highest z-score: CO (0.6σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
2024-09-01 06:00:00,Islamabad,Hazardous,unclassified,Highest z-score: SO2 (1.2σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
2024-09-01 06:00:00,Islamabad,Hazardous,unclassified,Highest z-score: SO2 (1.2σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
2024-09-06 14:00:00,Islamabad,Hazardous,industrial,High SO₂ (3.5σ),"Respiratory patients, children, elderly",Stay indoors; close ventilation; seek medical attention if breathing difficulty,"⚠ Air Quality Alert — Islamabad. Elevated sulfur dioxide readings point to industrial emissions as a probable cause of the current pollution spike. Respiratory patients, children, and elderly individuals are especially vulnerable. Stay indoors, close ventilation, and seek medical attention if experiencing breathing difficulty.",⚠ فضائی آلودگی الرٹ — Islamabad۔ سلفر ڈائی آکسائیڈ کی بلند مقدار سے لگتا ہے کہ صنعتی اخراج آلودگی کی موجودہ لہر کا ممکنہ سبب ہے۔ سانس کے مریض، بچے اور بزرگ خاص طور پر متاثر ہو سکتے ہیں۔ گھر کے اندر رہیں، وینٹیلیشن بند کریں اور سانس لینے میں دشواری ہو تو فوری طبی مدد لیں۔,test
2024-09-06 14:00:00,Islamabad,Hazardous,industrial,High SO₂ (3.5σ),"Respiratory patients, children, elderly",Stay indoors; close ventilation; seek medical attention if breathing difficulty,"⚠ Air Quality Alert — Islamabad. Elevated sulfur dioxide readings point to industrial emissions as a probable cause of the current pollution spike. Respiratory patients, children, and elderly individuals are especially vulnerable. Stay indoors, close ventilation, and seek medical attention if experiencing breathing difficulty.",⚠ فضائی آلودگی الرٹ — Islamabad۔ سلفر ڈائی آکسائیڈ کی بلند مقدار سے لگتا ہے کہ صنعتی اخراج آلودگی کی موجودہ لہر کا ممکنہ سبب ہے۔ سانس کے مریض، بچے اور بزرگ خاص طور پر متاثر ہو سکتے ہیں۔ گھر کے اندر رہیں، وینٹیلیشن بند کریں اور سانس لینے میں دشواری ہو تو فوری طبی مدد لیں۔,test
2024-09-06 15:00:00,Islamabad,Hazardous,mixed,High SO₂ (3.5σ); High NH₃ (1.8σ) + CO (2.7σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح کئی ذرائع کے امتزاج سے محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
2024-09-06 15:00:00,Islamabad,Hazardous,mixed,High SO₂ (3.5σ); High NH₃ (1.8σ) + CO (2.7σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح کئی ذرائع کے امتزاج سے محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
2024-09-06 16:00:00,Islamabad,Hazardous,mixed,High SO₂ (3.6σ); High NH₃ (2.2σ) + CO (2.9σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح کئی ذرائع کے امتزاج سے محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
2024-09-06 16:00:00,Islamabad,Hazardous,mixed,High SO₂ (3.6σ); High NH₃ (2.2σ) + CO (2.9σ),"Children, elderly, people with respiratory or heart conditions",Minimise outdoor activity; wear N95 or surgical mask outdoors,"⚠ Air Quality Alert — Islamabad. Pollution levels have spiked above safe thresholds due to a combination of emission sources in the area. All sensitive groups — including children, elderly, and those with respiratory conditions — should minimise outdoor activity and wear protective masks.",⚠ فضائی آلودگی الرٹ — Islamabad۔ آلودگی کی سطح کئی ذرائع کے امتزاج سے محفوظ حد سے بڑھ گئی ہے۔ تمام حساس افراد — بشمول بچے، بزرگ اور سانس کی تکلیف والے — باہر کا وقت کم سے کم رکھیں اور حفاظتی ماسک پہنیں۔,test
